problem,metric,reference_algorithm,comparison_algorithm,direction,paired_or_unpaired,test_name,statistic,p_value,effect_size_name,effect_size,n_reference,n_comparison,unsupported_policy,missing_policy,seed_pairing_policy
WFG4,hv,MOSADE,MOSADE_fixed_eps,higher,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,hv,MOSADE,MOSADE_fixed_eps_initial,higher,paired,wilcoxon_signed_rank,0.0,nan,cliffs_delta_comparison_minus_reference,0.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,hv,MOSADE,MOSADE_no_restart,higher,paired,wilcoxon_signed_rank,79.0,0.000541122630238533,cliffs_delta_comparison_minus_reference,0.45681581685744016,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,hv,MOSADE,MOSADE_shared_memory,higher,paired,wilcoxon_signed_rank,215.0,0.529405927285552,cliffs_delta_comparison_minus_reference,0.14464099895941726,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,hv,MOSADE,MOSADE_single_S1,higher,paired,wilcoxon_signed_rank,72.0,0.0002865353599190712,cliffs_delta_comparison_minus_reference,-0.6024973985431842,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,hv,MOSADE,MOSADE_single_S2,higher,paired,wilcoxon_signed_rank,52.0,3.570038825273514e-05,cliffs_delta_comparison_minus_reference,0.6129032258064516,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,hv,MOSADE,MOSADE_single_S3,higher,paired,wilcoxon_signed_rank,0.0,9.313225746154785e-10,cliffs_delta_comparison_minus_reference,-1.0,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,hv,MOSADE,MOSADE_single_S4,higher,paired,wilcoxon_signed_rank,139.0,0.03211137559264898,cliffs_delta_comparison_minus_reference,0.37356919875130074,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,hv,MOSADE,MOSADE_uniform_strategy,higher,paired,wilcoxon_signed_rank,98.0,0.0025048814713954926,cliffs_delta_comparison_minus_reference,-0.5067637877211238,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
WFG4,igd,MOSADE,MOSADE_domselect,lower,paired,wilcoxon_signed_rank,178.0,0.1756664952263236,cliffs_delta_comparison_minus_reference,0.2133194588969823,31,31,excluded_as_NA,excluded_and_counted,same_seed_when_complete
